  time        pos_x        pos_y        vel_x        vel_y    BCI_pos_x    BCI_pos_y    BCI_vel_x    BCI_vel_y
 4.090     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 4.140     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 4.191     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 4.246     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 4.302     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 4.352     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 4.402     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 4.462     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 4.515     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 4.603     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 4.653     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 4.713     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 4.773     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 4.833     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 4.893     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 4.953     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 5.013     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 5.073     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 5.133     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 5.193     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 5.253     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 5.324     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 5.375     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 5.434     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 5.494     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 5.554     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 5.615     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 5.667     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 5.726     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 5.786     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 5.848     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 5.909     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 5.967     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 6.027     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 6.079     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 6.128     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 6.180   268.732420    68.175384  5167.799253  1311.031609     0.000000     0.000000     0.000000     0.000000
 6.238   268.732420    68.175384     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 6.289   268.732420    68.175384     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 6.341   268.732420    68.175384     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 6.401   268.732420    68.175384     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 6.461   268.732420    70.276680     0.000000    35.022965     0.000000     0.000000     0.000000     0.000000
 6.522   268.265466   100.161780    -7.654557   489.891629     0.000000     0.000000     0.000000     0.000000
 6.583   268.732420   109.267396     7.655819   149.288471     0.000000     0.000000     0.000000     0.000000
 6.644   272.234580   124.209946    57.409175   244.945815     0.000000     0.000000     0.000000     0.000000
 6.705   275.036308   133.082085    45.927340   145.436577     0.000000     0.000000     0.000000     0.000000
 6.766   275.036308   165.768913     0.000000   535.907330     0.000000     0.000000     0.000000     0.000000
 6.823   260.794191   194.953580  -249.860426   512.009070     0.000000     0.000000     0.000000     0.000000
 6.885   240.481662   216.900450  -327.625334   353.985993     0.000000     0.000000     0.000000     0.000000
 6.950   234.644728   228.107363   -89.789739   172.396298     0.000000     0.000000     0.000000     0.000000
 7.007   233.944296   230.208659   -12.288218    36.864653     0.000000     0.000000     0.000000     0.000000
 7.068   233.010387   233.010387   -15.311638    45.934914     0.000000     0.000000     0.000000     0.000000
 7.133   230.909091   240.248185   -32.329308   111.356506     0.000000     0.000000     0.000000     0.000000
 7.191   230.675614   245.151209    -4.096073    86.017524     0.000000     0.000000     0.000000     0.000000
 7.252   234.644728   248.653369    64.008359    56.477964     0.000000     0.000000     0.000000     0.000000
 7.311   234.644728   251.221620     0.000000    43.535699     0.000000     0.000000     0.000000     0.000000
 7.362   227.873885   254.490302  -132.747161    64.084836     0.000000     0.000000     0.000000     0.000000
 7.424   197.054876   258.692895  -497.086714    67.784552     0.000000     0.000000     0.000000     0.000000
 7.482   200.323559   254.957257    56.360424   -64.411913     0.000000     0.000000     0.000000     0.000000
