  time        Trial                     Stage       BCI_on      IDLE_on        tgt_x        tgt_y        tgt_z          Hit       EYE_on
 7.252            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 7.311            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 7.362            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 7.424            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 7.482            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 7.538            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 7.597            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 7.657            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 7.715            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 7.764            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 7.829            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 7.887            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 7.944            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 8.001            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 8.063            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 8.121            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 8.171            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 8.223            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 8.273            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 8.327            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 8.388            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 8.452            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 8.510            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 8.571            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 8.629            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 8.680            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 8.744            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 8.801            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 8.854            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 8.904            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 8.963            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 9.016            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 9.072            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 9.122            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 9.179            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 9.245            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 9.297            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 9.351            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 9.409            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 9.469            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 9.527            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 9.583            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 9.645            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 9.707            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 9.765            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 9.827            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 9.891            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 9.944            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
10.004            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
10.053            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
10.103            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
10.155            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
10.212            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
10.262            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
10.325            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
10.382            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
10.443            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
10.494            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
10.554            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
10.612            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
10.675            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
10.731            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
10.784            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
10.842            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
10.893            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
10.952            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
11.009            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
11.061            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
11.119            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
11.175            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
11.236            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
11.291            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
11.349            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
11.410            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
11.469            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
11.519            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
11.583            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
11.641            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
11.698            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
11.748            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
11.798            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
11.849            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
11.899            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
11.960            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
12.018            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
12.070            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
12.125            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
12.185            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
12.238            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
12.292            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
12.350            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
12.402            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
12.453            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
12.504            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
12.561            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
12.612            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
12.661            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
12.721            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
12.782            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
12.840            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
12.903            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
12.960            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
13.013            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
13.070            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
13.127            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
13.177            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
13.237            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
13.291            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
13.349            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
13.412            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
13.470            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
13.534            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
13.592            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
13.650            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
13.710            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
13.771            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
13.832            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
13.888            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
13.946            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
14.007            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
14.064            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
14.130            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
14.180            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
14.240            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
14.291            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
14.353            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
14.412            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
14.463            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
14.513            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
14.563            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
14.614            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
14.664            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
14.724            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
14.782            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
14.840            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
14.899            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
14.957            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
15.008            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
15.065            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
15.122            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
15.174            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
15.233            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
15.298            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
15.361            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
15.415            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
15.467            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
15.525            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
15.586            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
15.647            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
15.711            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
15.763            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
15.821            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
15.877            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
15.935            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
16.121            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
16.172            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
16.228            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
16.289            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
16.341            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
16.399            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
16.456            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
16.509            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
16.567            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
16.624            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
16.686            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
16.743            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
16.806            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
16.865            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
16.926            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
16.988            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
17.044            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
17.102            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
17.163            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
17.213            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
17.276            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
17.334            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
17.385            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
17.444            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
17.494            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
17.544            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
17.595            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
17.646            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
17.703            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
17.759            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
17.817            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
17.877            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
17.927            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
17.979            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
18.039            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
18.097            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
18.148            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
18.205            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
18.262            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
18.316            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
18.371            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
18.429            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
18.481            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
18.540            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
18.598            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
18.650            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
18.701            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
18.753            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
18.803            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
18.855            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
18.918            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
18.977            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
19.028            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
19.085            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
19.144            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
19.204            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
19.262            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
19.315            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
19.375            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
19.441            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
19.509            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
19.560            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
19.620            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
19.673            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
19.741            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
19.800            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
19.856            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
19.913            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
19.964            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
20.023            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
20.076            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
20.131            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
20.187            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
20.247            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
20.307            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
20.367            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
20.427            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
20.481            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
20.546            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
20.607            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
20.666            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
20.717            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
20.776            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
20.837            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
20.894            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
20.953            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
21.015            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
21.066            0                         1            0            0      77.9814     116.7387          NaN          NaN          NaN
21.127            0                         2            0            0      77.9814     116.7387          NaN          NaN          NaN
21.184            0                         2            0            0      77.9814     116.7387          NaN          NaN          NaN
21.239            0                         2            0            0      77.9814     116.7387          NaN          NaN          NaN
21.291            0                         2            0            0      77.9814     116.7387          NaN          NaN          NaN
21.353            0                         2            0            0      77.9814     116.7387          NaN          NaN          NaN
21.409            0                         2            0            0      77.9814     116.7387          NaN          NaN          NaN
21.467            0                         2            0            0      77.9814     116.7387          NaN          NaN          NaN
21.519            0                         2            0            0      77.9814     116.7387          NaN          NaN          NaN
21.577            0                         2            0            0      77.9814     116.7387          NaN          NaN          NaN
21.641            0                         2            0            0      77.9814     116.7387          NaN          NaN          NaN
21.699            0                         2            0            0      77.9814     116.7387          NaN          NaN          NaN
21.761            0                         2            0            0      77.9814     116.7387          NaN          NaN          NaN
21.819            0                         2            0            0      77.9814     116.7387          NaN          NaN          NaN
21.885            0                         2            0            0      77.9814     116.7387          NaN          NaN          NaN
21.945            0                         2            0            0      77.9814     116.7387          NaN          NaN          NaN
22.005            0                         2            0            0      77.9814     116.7387          NaN          NaN          NaN
22.065            0                         2            0            0      77.9814     116.7387          NaN          NaN          NaN
22.125            0                         3            0            0      77.9814     116.7387          NaN          NaN          NaN
22.187            0                         1            0            0      77.9814     116.7387          NaN          NaN          NaN
22.245            0                         1            0            0      77.9814     116.7387          NaN          NaN          NaN
22.295            0                         1            0            0      77.9814     116.7387          NaN          NaN          NaN
22.352            0                         1            0            0      77.9814     116.7387          NaN          NaN          NaN
22.404            0                         1            0            0      77.9814     116.7387          NaN          NaN          NaN
22.461            0                         1            0            0      77.9814     116.7387          NaN          NaN          NaN
22.519            0                         1            0            0      77.9814     116.7387          NaN          NaN          NaN
22.572            0                         1            0            0      77.9814     116.7387          NaN          NaN          NaN
22.625            0                         1            0            0      77.9814     116.7387          NaN          NaN          NaN
22.682            0                         1            0            0      77.9814     116.7387          NaN          NaN          NaN
22.743            0                         1            0            0      77.9814     116.7387          NaN          NaN          NaN
22.802            0                         1            0            0      77.9814     116.7387          NaN          NaN          NaN
22.864            0                         1            0            0      77.9814     116.7387          NaN          NaN          NaN
22.926            0                         1            0            0      77.9814     116.7387          NaN          NaN          NaN
22.992            0                         1            0            0      77.9814     116.7387          NaN          NaN          NaN
23.054            0                         1            0            0      77.9814     116.7387          NaN          NaN          NaN
23.111            0                         1            0            0      77.9814     116.7387          NaN          NaN          NaN
23.161            0                         1            0            0      77.9814     116.7387          NaN          NaN          NaN
23.221            0                         2            0            0     272.9350     169.0376          NaN          NaN          NaN
23.279            0                         2            0            0     272.9350     169.0376          NaN          NaN          NaN
23.342            0                         2            0            0     272.9350     169.0376          NaN          NaN          NaN
23.398            0                         2            0            0     272.9350     169.0376          NaN          NaN          NaN
23.459            0                         2            0            0     272.9350     169.0376          NaN          NaN          NaN
23.517            0                         2            0            0     272.9350     169.0376          NaN          NaN          NaN
23.578            0                         2            0            0     272.9350     169.0376          NaN          NaN          NaN
23.638            0                         2            0            0     272.9350     169.0376          NaN          NaN          NaN
23.703            0                         2            0            0     272.9350     169.0376          NaN          NaN          NaN
